iter	Passed	Remaining
0	38	3786
1	68	3337
2	98	3189
3	124	2982
4	156	2970
5	179	2810
6	227	3025
7	265	3051
8	298	3022
9	316	2847
10	352	2853
11	377	2765
12	419	2809
13	506	3108
14	543	3080
15	579	3041
16	621	3036
17	658	3000
18	701	2990
19	744	2978
20	767	2886
21	803	2847
22	826	2767
23	848	2687
24	869	2607
25	898	2558
26	914	2472
27	930	2393
28	953	2333
29	980	2287
30	1007	2243
31	1046	2223
32	1078	2189
33	1102	2140
34	1133	2105
35	1293	2298
36	1359	2315
37	1399	2283
38	1458	2280
39	1641	2462
40	1718	2472
41	1781	2460
42	1824	2418
43	1879	2392
44	1970	2408
45	2028	2381
46	2068	2332
47	2102	2277
48	2181	2270
49	2269	2269
50	2326	2235
51	2434	2247
52	2491	2209
53	2529	2155
54	2565	2099
55	2601	2044
56	2624	1980
57	2660	1926
58	2684	1865
59	2720	1813
60	2758	1763
61	2784	1706
62	2822	1657
63	2859	1608
64	2893	1558
65	2918	1503
66	2958	1457
67	2997	1410
68	3045	1368
69	3087	1323
70	3119	1274
71	3159	1228
72	3192	1180
73	3232	1135
74	3256	1085
75	3306	1044
76	3345	999
77	3439	970
78	3478	924
79	3564	891
80	3635	852
81	3679	807
82	3714	760
83	3760	716
84	3836	677
85	3894	634
86	3940	588
87	3989	544
88	4029	497
89	4081	453
90	4125	407
91	4151	360
92	4175	314
93	4192	267
94	4206	221
95	4226	176
96	4241	131
97	4256	86
98	4279	43
99	4300	0
