iter	RMSE
0	1.106111097
1	1.096232286
2	1.087062252
3	1.078938544
4	1.07173594
5	1.064677131
6	1.059078152
7	1.054695504
8	1.049385581
9	1.045520265
10	1.041248071
11	1.03712414
12	1.033548857
13	1.030738494
14	1.02663189
15	1.023904008
16	1.021228748
17	1.018651796
18	1.016148842
19	1.014284253
20	1.012208365
21	1.009791389
22	1.007065571
23	1.005266064
24	1.003724456
25	1.002343062
26	1.001075273
27	0.9996963295
28	0.9976438669
29	0.9961645266
30	0.9949890099
31	0.9936234149
32	0.9915159409
33	0.9902937989
34	0.9894460002
35	0.9882741638
36	0.9872429082
37	0.9864406726
38	0.9853207797
39	0.9840072934
40	0.9823187052
41	0.9810192979
42	0.9798148298
43	0.9788215683
44	0.9770849719
45	0.9757269386
46	0.9748228714
47	0.9739427274
48	0.9724813088
49	0.9717884856
50	0.9708244182
51	0.9699813398
52	0.9687648951
53	0.9675203512
54	0.9664843446
55	0.9655022785
56	0.9643792771
57	0.9630571585
58	0.9622332627
59	0.9609828595
60	0.9601102709
61	0.9595247393
62	0.9591332236
63	0.958053885
64	0.9571291749
65	0.9564679888
66	0.9554162822
67	0.9544655752
68	0.9535426125
69	0.9529851196
70	0.9519200467
71	0.9507922145
72	0.9500373829
73	0.9497330996
74	0.9485638653
75	0.9479236832
76	0.9470582339
77	0.9462273288
78	0.9456014531
79	0.945019556
80	0.9444921225
81	0.9432906971
82	0.9427383925
83	0.9420024932
84	0.941082572
85	0.9403748573
86	0.9396352142
87	0.9389245498
88	0.9375308658
89	0.9369498029
90	0.9359731589
91	0.935371278
92	0.9345650992
93	0.9336960868
94	0.9332143215
95	0.9319456323
96	0.9311110936
97	0.9302245506
98	0.9287846561
99	0.9278831404
