iter	Passed	Remaining
0	26	2627
1	41	2045
2	55	1781
3	69	1670
4	85	1620
5	126	1988
6	200	2660
7	257	2964
8	293	2965
9	327	2946
10	367	2972
11	415	3050
12	478	3200
13	523	3217
14	843	4778
15	904	4747
16	984	4804
17	1038	4730
18	1086	4634
19	1154	4618
20	1365	5136
21	1463	5189
22	1568	5249
23	1643	5202
24	1703	5111
25	1784	5078
26	1819	4918
27	1862	4790
28	1904	4662
29	1945	4538
30	1981	4410
31	2015	4283
32	2037	4137
33	2082	4041
34	2127	3950
35	2158	3838
36	2191	3731
37	2303	3758
38	2421	3787
39	2703	4055
40	2811	4045
41	2927	4042
42	3005	3984
43	3158	4020
44	3363	4111
45	3449	4049
46	3599	4059
47	3697	4005
48	3855	4013
49	3925	3925
50	3969	3814
51	4031	3721
52	4100	3636
53	4143	3529
54	4184	3423
55	4367	3431
56	4456	3361
57	4503	3260
58	4573	3178
59	4650	3100
60	4692	3000
61	4721	2894
62	4764	2798
63	4797	2698
64	4816	2593
65	4853	2500
66	4882	2404
67	4914	2312
68	4970	2233
69	5085	2179
70	5129	2095
71	5173	2011
72	5226	1933
73	5249	1844
74	5328	1776
75	5351	1689
76	5386	1608
77	5418	1528
78	5446	1447
79	5486	1371
80	5651	1325
81	5707	1252
82	5781	1184
83	5803	1105
84	5840	1030
85	5867	955
86	5891	880
87	5920	807
88	5947	735
89	5986	665
90	6025	595
91	6070	527
92	6116	460
93	6166	393
94	6207	326
95	6240	260
96	6272	193
97	6298	128
98	6326	63
99	6351	0
